Store,Dept,residual_std
3,87,191.93437704146544
3,90,99.79360392723989
3,91,60.39444212703399
3,92,372.10135479286765
3,94,299.96845805043165
3,95,804.8248893255769
3,96,379.9110549773883
3,97,64.79531763460541
3,98,29.644740329128673
4,1,881.606978872007
4,2,1358.3717895301259
4,3,862.2894822691529
4,4,577.8030167899495
4,5,1232.291586995753
4,6,297.5270824528755
4,7,1743.9316078273034
4,8,506.90983431239556
4,9,736.6036655800817
4,10,535.4483128714987
4,11,846.9115853191214
4,12,195.18855717558117
4,13,622.3091658826653
4,14,504.6700862433497
4,16,481.4376111043719
4,17,286.87454884214617
4,18,824.1533239181059
4,19,186.9048461379478
4,20,192.0541729132409
4,21,117.49888573956402
4,22,403.1473033019659
4,23,887.9955177532167
4,24,361.60713685636796
4,25,285.2229860970575
4,26,553.5421866099703
4,27,128.83110913596713
4,28,95.98867838384662
4,29,231.79601745210786
4,30,158.055839593992
4,31,279.3232158879377
4,32,506.73853368781363
4,33,388.84781481621906
4,34,616.0015338376433
4,35,176.2296977637693
4,36,370.3365221518095
4,37,201.9161989312419
4,38,1489.4574893748052
4,40,864.2135689275547
4,41,200.38104445768127
4,42,230.3710078527142
4,44,142.15274552261087
4,45,19.029538727044518
4,46,500.61977687583374
4,48,565.5209265408474
4,49,291.6504473642287
4,51,6.0459174422267985
4,52,238.99299627843703
4,54,41.47151565221284
4,55,332.20876966378825
4,56,368.2857423876922
4,58,495.95865718429707
4,59,99.61455464070751
4,60,78.18055416596883
4,67,538.0011342424136
4,71,229.94893248404267
4,72,3096.3473357175003
4,74,307.1068914187547
4,79,671.4943392057986
4,80,214.43494358185944
4,81,391.33424053404383
4,82,458.7225598959341
4,83,317.9238726455693
4,85,183.24119601139944
4,87,399.6371997939907
4,90,1154.6462911133137
4,91,795.6693869506378
4,92,4935.6028829831175
4,93,1049.9852381701376
4,94,1049.2684895167658
4,95,4043.478049636925
4,96,604.3685566005186
4,97,553.3522640332192
4,98,364.0944687743527
4,99,355.10992941476565
5,1,956.6509952520715
5,2,611.7538565215582
5,3,551.4577349389248
5,4,384.4699429204315
5,5,842.0305960749176
5,6,228.55371678636283
5,7,839.8561818261345
5,8,397.15293246598844
5,9,980.3291547630135
5,10,622.05212159481
5,11,652.5147029174932
5,12,253.1566774739053
5,13,472.22057264844034
5,14,400.1010192616842
5,16,972.5492305002078
5,17,261.7442203821926
5,18,626.929950879486
5,19,17.434333517066978
5,20,180.52800690443217
5,21,67.07690921354317
5,22,340.82472248628704
5,23,650.6060863586756
